latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
30.535,26.077,304.7,1,1,2018-10-20,0005,A,61,6.0NRT,288.9,7.3,N
30.534,26.087,318.5,1,1,2018-10-20,0005,A,97,6.0NRT,290,18.3,N
29.656,28.361,301,1,1,2018-10-20,0005,A,37,6.0NRT,289.3,5.9,N
29.533,28.443,301.5,1,1,2018-10-20,0005,A,42,6.0NRT,288.5,6.5,N
12.991,26.46,304.5,1.3,1.1,2018-10-20,0010,A,50,6.0NRT,292.9,8.3,N
12.949,26.466,319.6,1.3,1.1,2018-10-20,0010,A,99,6.0NRT,295.5,23.4,N
12.945,26.489,320.1,1.3,1.1,2018-10-20,0010,A,50,6.0NRT,294.9,21.3,N
12.95,26.46,313.4,1.3,1.1,2018-10-20,0010,A,53,6.0NRT,294.6,15.5,N
12.946,26.484,316,1.3,1.1,2018-10-20,0010,A,46,6.0NRT,294.7,16,N
12.938,26.47,313.6,1.3,1.1,2018-10-20,0010,A,47,6.0NRT,295.9,15.4,N
12.908,26.526,304.2,1.3,1.1,2018-10-20,0010,A,59,6.0NRT,292.8,8.3,N
12.813,26.552,318.2,1.3,1.1,2018-10-20,0010,A,96,6.0NRT,294.4,24.1,N
47.875,33.447,311.2,1,1,2018-10-20,0000,A,82,6.0NRT,279.8,14.5,N
35.026,136.878,309.7,2.1,1.4,2018-10-20,0115,T,0,6.0NRT,293.5,16.9,D
48.621,133.043,318,4.7,2,2018-10-20,0110,T,78,6.0NRT,283.4,159.9,D
48.622,133.034,315,4.7,2,2018-10-20,0110,T,75,6.0NRT,283.3,143.8,D
50.056,128.31,310.1,1.1,1.1,2018-10-20,0250,T,70,6.0NRT,285.1,13,D
49.643,129.932,300.5,1.3,1.1,2018-10-20,0250,T,38,6.0NRT,282,8.5,D
49.823,128.719,303.5,1.2,1.1,2018-10-20,0250,T,56,6.0NRT,284.4,8.7,D
48.634,133.077,362.3,2,1.4,2018-10-20,0250,T,100,6.0NRT,288.2,242.3,D
48.628,133.103,334.7,2,1.4,2018-10-20,0250,T,89,6.0NRT,285.3,92.6,D
48.634,133.021,327.6,1.9,1.4,2018-10-20,0250,T,71,6.0NRT,286,65.1,D
48.628,133.046,378.1,1.9,1.4,2018-10-20,0250,T,100,6.0NRT,290.5,384.3,D
48.623,133.071,316.9,2,1.4,2018-10-20,0250,T,55,6.0NRT,285,36.9,D
48.623,133.015,319.2,1.9,1.4,2018-10-20,0250,T,79,6.0NRT,285.1,44.9,D
48.617,133.04,326.5,1.9,1.4,2018-10-20,0250,T,84,6.0NRT,285.4,65,D
50.463,118.818,376.9,1.4,1.2,2018-10-20,0250,T,100,6.0NRT,290.9,240.1,D
50.461,118.838,325.3,1.4,1.2,2018-10-20,0250,T,84,6.0NRT,284.2,40.8,D
50.696,115.76,345.3,2,1.4,2018-10-20,0250,T,94,6.0NRT,286.9,151,D
50.694,115.788,331.2,2,1.4,2018-10-20,0250,T,87,6.0NRT,285.7,87.7,D
50.452,118.816,356.4,1.4,1.2,2018-10-20,0250,T,98,6.0NRT,288.6,133,D
50.45,118.836,307.3,1.4,1.2,2018-10-20,0250,T,65,6.0NRT,283.9,15.2,D
50.683,115.758,303.4,2,1.4,2018-10-20,0250,T,56,6.0NRT,285.2,19.6,D
50.439,116.987,383.2,1.7,1.3,2018-10-20,0250,T,100,6.0NRT,292.3,374.2,D
50.437,117.011,367.4,1.7,1.3,2018-10-20,0250,T,100,6.0NRT,290,239.2,D
