,month,day,temp,RH,wind,rain,area
0,3,5,8.2,51,6.7,0.0,0.0
1,10,2,18.0,33,0.9,0.0,0.0
2,10,6,14.6,33,1.3,0.0,0.0
3,3,5,8.3,97,4.0,0.2,0.0
4,3,7,11.4,99,1.8,0.0,0.0
5,8,7,22.2,29,5.4,0.0,0.0
6,8,1,24.1,27,3.1,0.0,0.0
7,8,1,8.0,86,2.2,0.0,0.0
8,9,2,13.1,63,5.4,0.0,0.0
9,9,6,22.8,40,4.0,0.0,0.0
10,9,6,17.8,51,7.2,0.0,0.0
11,9,6,19.3,38,4.0,0.0,0.0
12,8,5,17.0,72,6.7,0.0,0.0
13,9,1,21.3,42,2.2,0.0,0.0
14,9,3,26.4,21,4.5,0.0,0.0
15,9,5,22.9,44,5.4,0.0,0.0
16,3,6,15.1,27,5.4,0.0,0.0
17,10,1,16.7,47,4.9,0.0,0.0
18,3,3,15.9,35,4.0,0.0,0.0
19,4,6,9.3,44,4.5,0.0,0.0
20,9,2,18.3,40,2.7,0.0,0.0
21,9,1,19.1,38,2.7,0.0,0.0
22,6,7,21.0,44,4.5,0.0,0.0
23,8,6,19.5,43,5.8,0.0,0.0
24,8,6,23.7,32,5.8,0.0,0.0
25,8,7,16.3,60,5.4,0.0,0.0
26,9,5,19.0,34,5.8,0.0,0.0
27,9,1,19.4,48,1.3,0.0,0.0
28,9,6,30.2,24,2.7,0.0,0.0
29,9,7,22.8,39,3.6,0.0,0.0
30,9,5,25.4,24,3.6,0.0,0.0
31,9,1,11.2,78,7.6,0.0,0.0
32,9,5,20.6,37,1.8,0.0,0.0
33,9,7,17.7,39,3.6,0.0,0.0
34,9,1,21.2,32,2.7,0.0,0.0
35,9,2,18.2,62,4.5,0.0,0.0
36,10,2,21.7,24,4.5,0.0,0.0
37,10,5,11.3,60,5.4,0.0,0.0
38,10,6,17.8,27,4.0,0.0,0.0
39,3,2,14.1,43,2.7,0.0,0.0
40,7,2,23.3,37,3.1,0.0,0.0
41,8,6,18.4,42,6.7,0.0,0.0
42,8,2,16.6,54,5.4,0.0,0.0
43,9,6,19.6,48,2.7,0.0,0.0
44,9,3,12.9,74,4.9,0.0,0.0
45,9,3,25.9,24,4.0,0.0,0.0
46,9,1,14.7,70,3.6,0.0,0.0
47,7,1,23.0,36,3.1,0.0,0.0
48,3,1,11.8,35,1.8,0.0,0.0
49,3,1,11.0,46,5.8,0.0,0.0
50,9,4,20.8,17,1.3,0.0,0.0
51,8,7,21.5,34,2.2,0.0,0.0
52,8,3,20.4,42,4.9,0.0,0.0
53,8,3,20.4,42,4.9,0.0,0.0
54,8,4,17.6,45,3.6,0.0,0.0
55,9,4,27.7,24,2.2,0.0,0.0
56,9,2,17.8,63,4.9,0.0,0.0
57,10,7,13.8,50,2.7,0.0,0.0
58,2,1,13.9,40,5.4,0.0,0.0
59,2,5,12.3,51,0.9,0.0,0.0
60,3,7,11.5,39,5.8,0.0,0.0
61,3,7,5.5,59,6.3,0.0,0.0
62,8,4,18.8,35,4.9,0.0,0.0
63,8,7,20.8,33,2.7,0.0,0.0
64,8,1,23.1,31,3.1,0.0,0.0
65,8,4,18.6,44,4.5,0.0,0.0
66,9,5,23.0,37,4.5,0.0,0.0
67,9,5,19.6,33,5.4,0.0,0.0
68,9,5,19.6,33,6.3,0.0,0.0
69,3,5,17.2,26,4.5,0.0,0.0
70,3,5,15.8,27,7.6,0.0,0.0
71,9,5,17.7,37,3.6,0.0,0.0
72,3,5,15.6,25,6.3,0.0,0.0
73,8,2,17.3,43,4.5,0.0,0.0
74,9,5,27.6,30,1.3,0.0,0.0
75,2,4,6.7,79,3.1,0.0,0.0
76,2,5,15.7,43,3.1,0.0,0.0
77,3,1,8.3,72,3.1,0.0,0.0
78,8,5,14.7,66,2.7,0.0,0.0
79,8,2,21.6,19,6.7,0.0,0.0
80,8,7,19.5,39,6.3,0.0,0.0
81,8,7,17.9,44,2.2,0.0,0.0
82,8,2,18.6,51,4.5,0.0,0.0
83,8,3,16.6,47,0.9,0.0,0.0
84,8,4,20.2,45,3.6,0.0,0.0
85,9,4,21.5,15,0.9,0.0,0.0
86,9,4,25.4,27,2.2,0.0,0.0
87,9,4,22.4,34,2.2,0.0,0.0
88,9,7,25.3,36,3.6,0.0,0.0
89,3,6,17.4,25,4.9,0.0,0.0
90,8,6,14.7,59,5.8,0.0,0.0
91,3,5,17.4,24,5.4,0.0,0.0
92,8,7,20.8,32,6.3,0.0,0.0
93,8,7,18.2,43,4.9,0.0,0.0
94,8,1,23.4,22,2.7,0.0,0.0
95,9,7,17.8,64,1.3,0.0,0.0
96,2,6,12.7,48,1.8,0.0,0.0
97,3,6,17.4,24,5.4,0.0,0.0
98,8,7,11.6,87,4.5,0.0,0.0
99,8,7,19.8,39,5.4,0.0,0.0
100,8,7,19.8,39,5.4,0.0,0.0
101,8,2,14.4,66,5.4,0.0,0.0
102,8,2,20.1,40,4.0,0.0,0.0
103,9,6,24.1,29,4.5,0.0,0.0
104,1,6,5.3,78,3.1,0.0,0.0
105,3,5,12.7,52,6.3,0.0,0.0
106,3,4,18.2,29,3.1,0.0,0.0
107,8,7,21.4,33,3.1,0.0,0.0
108,9,6,20.3,45,3.1,0.0,0.0
109,9,1,17.4,56,5.4,0.0,0.0
110,3,5,13.7,43,5.8,0.0,0.0
111,3,5,18.8,18,4.5,0.0,0.0
112,9,7,22.8,39,3.6,0.0,0.0
113,9,1,18.9,35,2.7,0.0,0.0
114,3,2,15.8,27,7.6,0.0,0.0
115,3,2,15.5,27,6.3,0.0,0.0
116,3,6,11.6,30,6.3,0.0,0.0
117,3,6,15.2,27,4.9,0.0,0.0
118,3,1,10.6,30,4.0,0.0,0.0
119,8,4,19.6,36,3.1,0.0,0.0
120,8,1,10.3,74,2.2,0.0,0.0
121,8,1,17.1,43,5.4,0.0,0.0
122,9,7,22.5,42,5.4,0.0,0.0
123,9,2,17.9,45,3.1,0.0,0.0
124,9,5,19.8,50,5.4,0.0,0.0
125,10,7,20.6,24,5.4,0.0,0.0
126,3,1,9.0,49,2.2,0.0,0.0
127,9,5,17.2,43,3.1,0.0,0.0
128,10,3,15.9,46,3.6,0.0,0.0
129,10,7,15.4,35,0.9,0.0,0.0
130,2,6,15.4,40,2.7,0.0,0.0
131,3,1,14.0,39,3.1,0.0,0.0
132,3,7,10.6,46,4.9,0.0,0.0
133,9,4,17.6,42,3.1,0.0,0.0
134,3,2,14.9,38,2.7,0.0,0.0
135,8,6,17.6,52,5.8,0.0,0.0
136,9,7,17.2,58,1.3,0.0,0.0
137,9,1,15.6,66,3.1,0.0,0.0
138,7,2,18.0,42,2.7,0.0,0.36
139,9,2,21.7,38,2.2,0.0,0.43
140,9,1,21.9,39,1.8,0.0,0.47
141,8,3,23.3,31,4.5,0.0,0.55
142,8,5,21.2,51,8.9,0.0,0.61
143,7,6,16.6,53,5.4,0.0,0.71
144,8,3,23.8,32,5.4,0.0,0.77
145,8,4,27.4,22,4.0,0.0,0.9
146,3,1,13.2,40,5.4,0.0,0.95
147,9,2,24.2,28,3.6,0.0,0.96
148,8,2,17.4,43,6.7,0.0,1.07
149,9,4,23.7,25,4.5,0.0,1.12
150,6,5,23.2,39,5.4,0.0,1.19
151,7,7,24.8,29,2.2,0.0,1.36
152,7,6,24.6,43,1.8,0.0,1.43
153,9,5,20.1,47,4.9,0.0,1.46
154,9,6,29.6,27,2.7,0.0,1.46
155,8,7,16.4,47,1.3,0.0,1.56
156,9,6,28.6,27,2.2,0.0,1.61
157,8,3,18.4,45,3.6,0.0,1.63
158,8,3,20.5,35,4.0,0.0,1.64
159,9,5,19.0,34,5.8,0.0,1.69
160,3,1,16.1,29,3.1,0.0,1.75
161,8,4,20.3,41,4.0,0.0,1.9
162,3,6,15.2,31,8.5,0.0,1.94
163,9,6,17.8,56,1.8,0.0,1.95
164,9,7,17.8,67,2.2,0.0,2.01
165,3,4,5.3,70,4.5,0.0,2.14
166,8,3,16.6,47,0.9,0.0,2.29
167,8,3,23.4,33,4.5,0.0,2.51
168,3,5,14.6,26,9.4,0.0,2.53
169,8,4,20.7,45,2.2,0.0,2.55
170,9,3,21.9,35,1.8,0.0,2.57
171,8,3,17.4,50,4.0,0.0,2.69
172,8,7,20.1,39,5.4,0.0,2.74
173,9,1,17.7,39,2.2,0.0,3.07
174,8,6,14.2,53,1.8,0.0,3.5
175,8,6,20.3,39,4.9,0.0,4.53
176,4,4,5.8,54,5.8,0.0,4.61
177,8,7,19.2,44,2.7,0.0,4.69
178,9,3,18.3,45,2.2,0.0,4.88
179,8,2,14.4,66,5.4,0.0,5.23
180,9,7,23.9,32,6.7,0.0,5.33
181,10,1,19.1,32,4.0,0.0,5.44
182,2,7,12.4,53,2.2,0.0,6.38
183,10,1,16.8,45,4.5,0.0,6.83
184,8,5,20.8,34,4.9,0.0,6.96
185,9,2,17.6,46,3.1,0.0,7.04
186,3,7,11.5,39,5.8,0.0,7.19
187,9,1,21.0,42,2.2,0.0,7.3
188,3,6,13.3,42,0.9,0.0,7.4
189,3,7,11.5,60,4.0,0.0,8.24
190,3,5,11.7,33,4.0,0.0,8.31
191,8,4,24.2,28,2.7,0.0,8.68
192,8,2,24.6,22,4.5,0.0,8.71
193,9,3,24.3,25,4.0,0.0,9.41
194,8,2,24.6,22,4.5,0.0,10.01
195,8,5,23.5,36,5.4,0.0,10.02
196,4,4,5.8,54,5.8,0.0,10.93
197,9,4,21.5,15,0.9,0.0,11.06
198,9,2,13.9,59,6.3,0.0,11.24
199,9,1,22.6,38,3.6,0.0,11.32
200,9,2,21.6,33,2.2,0.0,11.53
201,3,7,12.4,54,3.6,0.0,12.1
202,2,7,8.8,68,2.2,0.0,13.05
203,10,3,20.2,37,2.7,0.0,13.7
204,3,6,15.1,64,4.0,0.0,13.99
205,9,4,22.1,34,1.8,0.0,14.57
206,8,6,22.9,31,7.2,0.0,15.45
207,9,2,20.7,37,2.2,0.0,17.2
208,9,5,19.6,33,6.3,0.0,19.23
209,9,4,23.2,26,4.9,0.0,23.41
210,10,6,18.4,25,3.1,0.0,24.23
211,8,6,5.1,96,5.8,0.0,26.0
212,9,5,20.1,47,4.9,0.0,26.13
213,3,1,11.0,46,5.8,0.0,27.35
214,3,6,17.0,27,4.9,0.0,28.66
215,3,6,17.0,27,4.9,0.0,28.66
216,9,7,16.9,60,1.3,0.0,29.48
217,9,1,12.4,73,6.3,0.0,30.32
218,9,3,19.4,19,1.3,0.0,31.72
219,3,1,15.2,27,3.1,0.0,31.86
220,8,7,16.2,59,3.1,0.0,32.07
221,9,5,18.6,49,3.6,0.0,35.88
222,3,1,11.0,46,5.8,0.0,36.85
223,7,5,13.4,79,3.6,0.0,37.02
224,9,3,15.4,57,4.5,0.0,37.71
225,9,7,22.9,39,4.9,0.0,48.55
226,10,1,16.1,44,4.0,0.0,49.37
227,8,6,20.1,34,4.5,0.0,58.3
228,9,7,28.3,26,3.1,0.0,64.1
229,8,6,16.4,43,4.0,0.0,71.3
230,9,3,26.4,21,4.5,0.0,88.49
231,9,7,27.8,27,3.1,0.0,95.18
232,9,2,18.7,43,2.7,0.0,103.39
233,9,2,24.3,36,3.1,0.0,105.66
234,9,6,17.7,25,3.1,0.0,154.88
235,8,7,19.6,41,5.8,0.0,196.48
236,9,6,18.2,46,1.8,0.0,200.94
237,9,2,18.8,40,2.2,0.0,212.88
238,9,6,25.1,27,4.0,0.0,1090.84
239,4,7,13.4,75,1.8,0.0,0.0
240,4,3,15.2,51,2.7,0.0,0.0
241,4,5,16.7,20,3.1,0.0,0.0
242,8,7,15.4,66,4.0,0.0,10.13
243,8,7,21.9,73,7.6,1.0,0.0
244,8,7,22.4,54,7.6,0.0,2.87
245,8,7,26.8,38,6.3,0.0,0.76
246,8,7,25.7,39,5.4,0.0,0.09
247,8,3,20.7,70,2.2,0.0,0.75
248,8,3,28.7,28,2.7,0.0,0.0
249,8,3,21.7,40,0.4,0.0,2.47
250,8,3,26.8,25,3.1,0.0,0.68
251,8,3,24.0,36,3.1,0.0,0.24
252,8,3,22.1,37,3.6,0.0,0.21
253,8,4,21.4,38,2.7,0.0,1.52
254,8,4,18.9,41,3.1,0.0,10.34
255,8,4,22.3,46,4.0,0.0,0.0
256,8,6,23.9,41,2.2,0.0,8.02
257,8,6,21.4,44,2.7,0.0,0.68
258,8,6,20.6,59,0.9,0.0,0.0
259,8,6,23.7,40,1.8,0.0,1.38
260,8,1,28.3,32,4.0,0.0,8.85
261,8,5,11.2,84,7.6,0.0,3.3
262,8,5,21.4,42,3.1,0.0,4.25
263,8,5,19.3,39,3.6,0.0,1.56
264,8,5,21.8,53,3.1,0.0,6.54
265,8,2,22.1,54,7.6,0.0,0.79
266,8,2,19.4,55,4.0,0.0,0.17
267,8,2,23.7,24,3.1,0.0,0.0
268,8,2,21.0,32,3.1,0.0,0.0
269,8,2,19.1,53,2.7,0.0,4.4
270,8,2,21.8,56,3.1,0.0,0.52
271,8,2,20.1,58,4.5,0.0,9.27
272,8,2,20.2,47,4.0,0.0,3.09
273,12,7,4.8,57,8.5,0.0,8.98
274,12,3,5.1,61,8.0,0.0,11.19
275,12,4,5.1,61,4.9,0.0,5.38
276,12,1,4.6,21,8.5,0.0,17.85
277,12,1,4.6,21,8.5,0.0,10.73
278,12,1,4.6,21,8.5,0.0,22.03
279,12,1,4.6,21,8.5,0.0,9.77
280,12,5,2.2,59,4.9,0.0,9.27
281,12,2,5.1,24,8.5,0.0,24.77
282,2,7,4.2,51,4.0,0.0,0.0
283,2,3,8.8,35,3.1,0.0,1.1
284,2,5,7.5,46,8.0,0.0,24.24
285,7,7,23.4,40,6.3,0.0,0.0
286,7,3,12.6,90,7.6,0.2,0.0
287,7,6,22.1,49,2.7,0.0,0.0
288,7,6,24.2,32,1.8,0.0,0.0
289,7,6,24.3,30,1.8,0.0,0.0
290,7,6,18.7,53,1.8,0.0,0.0
291,7,6,25.3,39,0.9,0.0,8.0
292,7,5,22.9,40,1.3,0.0,2.64
293,7,2,26.9,28,5.4,0.0,86.45
294,7,2,17.1,67,3.6,0.0,6.57
295,6,7,22.2,48,1.3,0.0,0.0
296,6,7,14.3,46,1.8,0.0,0.9
297,6,7,15.4,45,2.2,0.0,0.0
298,6,3,19.6,43,4.9,0.0,0.0
299,6,6,10.6,90,2.7,0.0,0.0
300,6,1,20.7,25,4.9,0.0,0.0
301,6,1,19.1,39,5.4,0.0,3.52
302,6,5,19.2,38,4.5,0.0,0.0
303,6,5,19.2,38,4.5,0.0,0.0
304,5,6,11.3,94,4.9,0.0,0.0
305,9,7,19.0,52,2.2,0.0,0.0
306,9,7,17.1,53,5.4,0.0,0.41
307,9,7,23.8,35,3.6,0.0,5.18
308,9,7,16.0,45,1.8,0.0,0.0
309,9,7,24.9,27,2.2,0.0,0.0
310,9,7,25.3,27,2.7,0.0,0.0
311,9,7,24.8,28,1.8,0.0,14.29
312,9,7,12.2,78,6.3,0.0,0.0
313,9,3,24.3,27,4.9,0.0,0.0
314,9,3,19.7,41,1.8,0.0,1.58
315,9,3,18.5,30,2.7,0.0,0.0
316,9,4,18.6,24,5.8,0.0,0.0
317,9,4,19.2,24,4.9,0.0,3.78
318,9,4,21.6,27,2.2,0.0,0.0
319,9,4,21.6,28,6.3,0.0,4.41
320,9,4,18.9,34,7.2,0.0,34.36
321,9,4,16.8,28,4.0,0.0,7.21
322,9,4,16.8,28,4.0,0.0,1.01
323,9,4,12.9,39,2.7,0.0,2.18
324,9,4,13.7,56,1.8,0.0,4.42
325,9,6,24.2,27,3.1,0.0,0.0
326,9,6,24.1,27,3.1,0.0,0.0
327,9,6,21.2,32,2.2,0.0,0.0
328,9,6,19.7,35,1.8,0.0,0.0
329,9,6,23.5,27,4.0,0.0,3.33
330,9,6,24.2,27,3.1,0.0,6.58
331,9,6,21.5,28,4.5,0.0,15.64
332,9,6,17.1,41,2.2,0.0,11.22
333,9,1,18.1,54,3.1,0.0,2.13
334,9,1,18.0,51,5.4,0.0,0.0
335,9,1,9.8,86,1.8,0.0,0.0
336,9,1,19.3,44,2.2,0.0,0.0
337,9,1,23.0,34,2.2,0.0,56.04
338,9,1,22.7,35,2.2,0.0,7.48
339,9,1,20.4,41,1.8,0.0,1.47
340,9,1,19.3,44,2.2,0.0,3.93
341,9,1,15.7,51,2.2,0.0,0.0
342,9,1,20.6,37,1.8,0.0,0.0
343,9,1,15.9,51,4.5,0.0,2.18
344,9,1,12.2,66,4.9,0.0,6.1
345,9,1,16.8,43,3.1,0.0,5.83
346,9,1,21.3,35,2.2,0.0,28.19
347,9,5,10.1,75,3.6,0.0,0.0
348,9,5,17.4,57,4.5,0.0,0.0
349,9,5,12.8,64,3.6,0.0,1.64
350,9,5,10.1,75,3.6,0.0,3.71
351,9,5,15.4,53,6.3,0.0,7.31
352,9,5,20.6,43,3.6,0.0,2.03
353,9,5,19.8,47,2.7,0.0,1.72
354,9,5,18.7,50,2.2,0.0,5.97
355,9,5,20.8,35,4.9,0.0,13.06
356,9,5,20.8,35,4.9,0.0,1.26
357,9,5,15.9,55,3.6,0.0,0.0
358,9,5,19.7,39,2.7,0.0,0.0
359,9,5,21.1,39,2.2,0.0,8.12
360,9,5,18.4,42,2.2,0.0,1.09
361,9,5,17.3,45,4.0,0.0,3.94
362,9,5,15.2,64,3.1,0.0,0.52
363,9,2,15.9,53,2.2,0.0,2.93
364,9,2,21.1,35,2.7,0.0,5.65
365,9,2,19.6,45,3.1,0.0,20.03
366,9,2,15.9,38,5.4,0.0,1.75
367,9,2,16.4,27,3.6,0.0,0.0
368,9,6,16.8,47,4.9,0.0,12.64
369,9,7,13.8,77,7.6,0.0,0.0
370,9,7,13.8,77,7.6,0.0,11.06
371,7,3,14.2,58,4.0,0.0,0.0
372,8,7,10.4,75,0.9,0.0,0.0
373,8,4,20.3,42,2.7,0.0,0.0
